Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,17.600000381469727,18.540000915527344,16.559999465942383,16.600000381469727,16.600000381469727,0
2022-01-04,16.56999969482422,17.809999465942383,16.34000015258789,16.90999984741211,16.90999984741211,0
2022-01-05,17.06999969482422,20.170000076293945,16.579999923706055,19.729999542236328,19.729999542236328,0
2022-01-06,20.290000915527344,21.059999465942383,19.079999923706055,19.610000610351562,19.610000610351562,0
2022-01-07,19.850000381469727,20.799999237060547,18.56999969482422,18.760000228881836,18.760000228881836,0
2022-01-10,19.579999923706055,23.329999923706055,19.290000915527344,19.399999618530273,19.399999618530273,0
2022-01-11,19.6200008392334,21.0,18.200000762939453,18.40999984741211,18.40999984741211,0
2022-01-12,18.170000076293945,18.690000534057617,17.360000610351562,17.6200008392334,17.6200008392334,0
2022-01-13,18.059999465942383,20.610000610351562,17.450000762939453,20.309999465942383,20.309999465942383,0
2022-01-14,20.110000610351562,22.06999969482422,19.049999237060547,19.190000534057617,19.190000534057617,0
2022-01-18,21.18000030517578,23.200000762939453,21.18000030517578,22.790000915527344,22.790000915527344,0
2022-01-19,23.1200008392334,23.989999771118164,21.850000381469727,23.850000381469727,23.850000381469727,0
2022-01-20,23.459999084472656,25.889999389648438,21.68000030517578,25.59000015258789,25.59000015258789,0
2022-01-21,25.3799991607666,29.790000915527344,25.309999465942383,28.850000381469727,28.850000381469727,0
2022-01-24,28.200000762939453,38.939998626708984,28.020000457763672,29.899999618530273,29.899999618530273,0
2022-01-25,32.290000915527344,35.849998474121094,29.1299991607666,31.15999984741211,31.15999984741211,0
2022-01-26,29.350000381469727,33.040000915527344,26.899999618530273,31.959999084472656,31.959999084472656,0
2022-01-27,32.189998626708984,33.0,28.420000076293945,30.489999771118164,30.489999771118164,0
2022-01-28,30.270000457763672,32.81999969482422,27.280000686645508,27.65999984741211,27.65999984741211,0
2022-01-31,28.360000610351562,29.40999984741211,24.709999084472656,24.829999923706055,24.829999923706055,0
2022-02-01,24.56999969482422,25.329999923706055,21.959999084472656,21.959999084472656,21.959999084472656,0
